Utenti,1,admin@admin,admin,admin,admin,void,2022-05-06,admin,3
Canzoni,18,The Call of Ktulu,1984-07-27,535,#ff4000,Inglese,2,,
Canzoni,19,Battery,1986-03-03,312,#ff8000,Inglese,2,,
Canzoni,20,Master of Puppets,1986-03-03,515,#ff8000,Inglese,2,,
Canzoni,21,The Thing That Should Not Be,1986-03-03,396,#ff8000,Inglese,2,,
Canzoni,22,Welcome Home (Sanitarium),1986-03-03,387,#ff8000,Inglese,2,,
Canzoni,23,Disposable Heroes,1986-03-03,496,#ff8000,Inglese,2,,
Canzoni,24,Leper Messiah,1986-03-03,340,#ff8000,Inglese,2,,
Canzoni,25,Orion,1986-03-03,507,#ff8000,Inglese,2,,
Canzoni,26,Damage; Inc.,1986-03-03,332,#ff8000,Inglese,2,,
Canzoni,27,Blackened,1988-08-25,400,#ffbf00,Inglese,2,,
Canzoni,28,... And Justice for All,1988-08-25,586,#ffbf00,Inglese,2,,
Canzoni,29,Eye of the Beholder,1988-08-25,390,#ffbf00,Inglese,2,,
Canzoni,30,One,1988-08-25,447,#ffbf00,Inglese,2,,
Canzoni,31,The Shortest Straw,1988-08-25,395,#ffbf00,Inglese,2,,
Canzoni,32,Harvester of Sorrow,1988-08-25,345,#ffbf00,Inglese,2,,
Canzoni,33,The Frayed Ends of Sanity,1988-08-25,764,#ffbf00,Inglese,2,,
Canzoni,34,To Live Is to Die,1988-08-25,588,#ffbf00,Inglese,2,,
Canzoni,35,Dyers Eve,1988-08-25,313,#ffbf00,Inglese,2,,
Canzoni,36,Enter Sandman,1991-08-12,329,#ffff00,Inglese,2,,
Canzoni,37,Sad but True,1991-08-12,324,#ffff00,Inglese,2,,
Canzoni,38,Holler than Thou,1991-08-12,227,#ffff00,Inglese,2,,
Canzoni,39,The Unforgiven,1991-08-12,386,#ffff00,Inglese,2,,
Canzoni,40,Wherever I May Roam,1991-08-12,402,#ffff00,Inglese,2,,
Canzoni,41,Don:t Tread on Me,1991-08-12,239,#ffff00,Inglese,2,,
Canzoni,42,Through the Never,1991-08-12,241,#ffff00,Inglese,2,,
Canzoni,43,Nothing Else Matters,1991-08-12,389,#ffff00,Inglese,2,,
Canzoni,44,Of Wolf and Man,1991-08-12,256,#ffff00,Inglese,2,,
Canzoni,45,The God That Failed,1991-08-12,305,#ffff00,Inglese,2,,
Canzoni,46,My Friend of Misery,1991-08-12,407,#ffff00,Inglese,2,,
Canzoni,47,The Struggle Within,1991-08-12,231,#ffff00,Inglese,2,,
Album,1,Kill :Em All,1983-07-25,#ff0000,10,Megaforce,2,,
Album,2,Ride the Lightning,1984-07-27,#ff4000,8,Elektra,2,,
Album,3,Master of puppets,1986-03-03,#ff8000,8,Elektra,2,,
Album,4,... And Justice for All,1988-08-25,#ffbf00,9,Elektra,2,,
Album,5,Metallica,1991-08-12,#ffff00,12,Elektra,2,,
Statistiche,1,0,1,0,0,0,0,1500,37
Statistiche,2,0,1,0,0,0,0,3005,39
Statistiche,3,0,1,0,0,0,0,15000,41
Statistiche,4,0,1,0,0,0,0,100000,43
Statistiche,5,0,1,0,0,0,0,1500,45
Statistiche,6,0,1,0,0,0,0,3005,47
Statistiche,7,0,1,0,0,0,0,15000,49
Statistiche,8,0,1,0,0,0,0,100000,51
Statistiche,9,0,1,0,0,0,0,1500,53
Statistiche,10,0,1,0,0,0,0,3005,55
Statistiche,11,0,1,0,0,0,0,15000,57
Statistiche,12,0,1,0,0,0,0,100000,59
Statistiche,13,0,1,0,0,0,0,1500,61
Statistiche,14,0,1,0,0,0,0,3005,63
Statistiche,15,0,1,0,0,0,0,15000,65
Statistiche,16,0,1,0,0,0,0,100000,67
Statistiche,17,0,1,0,0,0,0,1500,69
Statistiche,18,0,1,0,0,0,0,3005,71
Statistiche,19,0,1,0,0,0,0,15000,73
Statistiche,20,0,1,0,0,0,0,100000,75
Statistiche,21,0,1,0,0,0,0,1500,77
Statistiche,22,0,1,0,0,0,0,3005,79
Statistiche,23,0,1,0,0,0,0,15000,81
Statistiche,24,0,1,0,0,0,0,100000,83
Statistiche,25,0,1,0,0,0,0,1500,85
Statistiche,26,0,1,0,0,0,0,3005,87
Statistiche,27,0,1,0,0,0,0,15000,89
Statistiche,28,0,1,0,0,0,0,100000,91
Statistiche,29,0,1,0,0,0,0,1500,93
Statistiche,30,0,1,0,0,0,0,3005,95
Statistiche,31,0,1,0,0,0,0,15000,97
Statistiche,32,0,1,0,0,0,0,100000,99
Statistiche,33,0,1,0,0,0,0,1500,101
Statistiche,34,0,1,0,0,0,0,3005,103
Statistiche,35,0,1,0,0,0,0,15000,105
Statistiche,36,0,1,0,0,0,0,100000,107
Statistiche,37,0,1,0,0,0,0,1500,109
Statistiche,38,0,1,0,0,0,0,3005,111
Statistiche,39,0,1,0,0,0,0,15000,113
Statistiche,40,0,1,0,0,0,0,100000,115
Statistiche,41,0,1,0,0,0,0,1500,117
Statistiche,42,0,1,0,0,0,0,3005,119
Statistiche,43,0,1,0,0,0,0,15000,121
Statistiche,44,0,1,0,0,0,0,100000,123
Statistiche,45,0,1,0,0,0,0,1500,125
Statistiche,46,0,1,0,0,0,0,3005,127
Statistiche,47,0,1,0,0,0,0,15000,129
Tag,Speed Metal,,,,,,,,
Tag,Thrash Metal,,,,,,,,
Tag,Hard Rock,,,,,,,,
Tag,Pop Rock,,,,,,,,
Tag,Progressive Metal,,,,,,,,
Tag,Heavy Metal,,,,,,,,
Raccolte,1,1,,,,,,,
Raccolte,1,2,,,,,,,
Raccolte,1,3,,,,,,,
Raccolte,1,4,,,,,,,
Raccolte,1,5,,,,,,,
Raccolte,1,6,,,,,,,
Raccolte,1,7,,,,,,,
Raccolte,1,8,,,,,,,
Raccolte,1,9,,,,,,,
Raccolte,1,10,,,,,,,
Raccolte,1,11,,,,,,,
Raccolte,1,12,,,,,,,
Raccolte,1,13,,,,,,,
Raccolte,1,14,,,,,,,
Raccolte,1,15,,,,,,,
Raccolte,1,16,,,,,,,
Raccolte,1,17,,,,,,,
Raccolte,1,18,,,,,,,
Raccolte,1,19,,,,,,,
Raccolte,1,20,,,,,,,
Raccolte,1,21,,,,,,,
Raccolte,1,22,,,,,,,
Raccolte,1,23,,,,,,,
Raccolte,1,24,,,,,,,
Raccolte,1,25,,,,,,,
Raccolte,1,26,,,,,,,
Raccolte,1,27,,,,,,,
Raccolte,1,28,,,,,,,
Raccolte,1,29,,,,,,,
Raccolte,1,30,,,,,,,
Raccolte,1,31,,,,,,,
Raccolte,1,32,,,,,,,
Raccolte,1,33,,,,,,,
Raccolte,1,34,,,,,,,
Raccolte,1,35,,,,,,,
Raccolte,1,36,,,,,,,
Raccolte,1,37,,,,,,,
Raccolte,1,38,,,,,,,
Raccolte,1,39,,,,,,,
Raccolte,1,40,,,,,,,
Raccolte,1,41,,,,,,,
Raccolte,1,42,,,,,,,
Raccolte,1,43,,,,,,,
Raccolte,1,44,,,,,,,
Raccolte,1,45,,,,,,,
Raccolte,1,46,,,,,,,
Raccolte,1,47,,,,,,,
Contenuto,1,1,,,,,,,
Contenuto,1,2,,,,,,,
Contenuto,1,3,,,,,,,
Contenuto,1,4,,,,,,,
Contenuto,1,5,,,,,,,
Contenuto,1,6,,,,,,,
Contenuto,1,7,,,,,,,
Contenuto,1,8,,,,,,,
Contenuto,1,9,,,,,,,
Contenuto,1,10,,,,,,,
Contenuto,2,11,,,,,,,
Contenuto,2,12,,,,,,,
Contenuto,2,13,,,,,,,
Contenuto,2,14,,,,,,,
Contenuto,2,15,,,,,,,
Contenuto,2,16,,,,,,,
Contenuto,2,17,,,,,,,
Contenuto,2,18,,,,,,,
Contenuto,3,19,,,,,,,
Contenuto,3,20,,,,,,,
Contenuto,3,21,,,,,,,
Contenuto,3,22,,,,,,,
Contenuto,3,23,,,,,,,
Contenuto,3,24,,,,,,,
Contenuto,3,25,,,,,,,
Contenuto,3,26,,,,,,,
Contenuto,4,27,,,,,,,
Contenuto,4,28,,,,,,,
Contenuto,4,29,,,,,,,
Contenuto,4,30,,,,,,,
Contenuto,4,31,,,,,,,
Contenuto,4,32,,,,,,,
Contenuto,4,33,,,,,,,
Contenuto,4,34,,,,,,,
Contenuto,4,35,,,,,,,
Contenuto,5,36,,,,,,,
Contenuto,5,37,,,,,,,
Contenuto,5,38,,,,,,,
Contenuto,5,39,,,,,,,
Contenuto,5,40,,,,,,,
Contenuto,5,41,,,,,,,
Contenuto,5,42,,,,,,,
Contenuto,5,43,,,,,,,
Contenuto,5,44,,,,,,,
Contenuto,5,45,,,,,,,
Contenuto,5,46,,,,,,,
Contenuto,5,47,,,,,,,
AttributoCanzone,Speed Metal,1,,,,,,,
AttributoCanzone,Speed Metal,2,,,,,,,
AttributoCanzone,Speed Metal,3,,,,,,,
AttributoCanzone,Speed Metal,4,,,,,,,
AttributoCanzone,Speed Metal,5,,,,,,,
AttributoCanzone,Speed Metal,6,,,,,,,
AttributoCanzone,Speed Metal,7,,,,,,,
AttributoCanzone,Speed Metal,8,,,,,,,
AttributoCanzone,Speed Metal,9,,,,,,,
AttributoCanzone,Speed Metal,10,,,,,,,
AttributoCanzone,Thrash Metal,1,,,,,,,
AttributoCanzone,Thrash Metal,2,,,,,,,
AttributoCanzone,Thrash Metal,3,,,,,,,
AttributoCanzone,Thrash Metal,4,,,,,,,
AttributoCanzone,Thrash Metal,5,,,,,,,
AttributoCanzone,Thrash Metal,6,,,,,,,
AttributoCanzone,Thrash Metal,7,,,,,,,
AttributoCanzone,Thrash Metal,8,,,,,,,
AttributoCanzone,Thrash Metal,9,,,,,,,
AttributoCanzone,Thrash Metal,10,,,,,,,
AttributoCanzone,Speed Metal,11,,,,,,,
AttributoCanzone,Speed Metal,12,,,,,,,
AttributoCanzone,Speed Metal,13,,,,,,,
AttributoCanzone,Speed Metal,14,,,,,,,
AttributoCanzone,Speed Metal,15,,,,,,,
AttributoCanzone,Speed Metal,16,,,,,,,
AttributoCanzone,Speed Metal,17,,,,,,,
AttributoCanzone,Speed Metal,18,,,,,,,
AttributoCanzone,Thrash Metal,11,,,,,,,
AttributoCanzone,Thrash Metal,12,,,,,,,
AttributoCanzone,Thrash Metal,13,,,,,,,
AttributoCanzone,Thrash Metal,14,,,,,,,
AttributoCanzone,Thrash Metal,15,,,,,,,
AttributoCanzone,Thrash Metal,16,,,,,,,
AttributoCanzone,Thrash Metal,17,,,,,,,
AttributoCanzone,Thrash Metal,18,,,,,,,
AttributoCanzone,Speed Metal,19,,,,,,,
AttributoCanzone,Speed Metal,20,,,,,,,
AttributoCanzone,Speed Metal,21,,,,,,,
AttributoCanzone,Speed Metal,22,,,,,,,
AttributoCanzone,Speed Metal,23,,,,,,,
AttributoCanzone,Speed Metal,24,,,,,,,
AttributoCanzone,Speed Metal,25,,,,,,,
AttributoCanzone,Speed Metal,26,,,,,,,
AttributoCanzone,Thrash Metal,19,,,,,,,
AttributoCanzone,Thrash Metal,20,,,,,,,
AttributoCanzone,Thrash Metal,21,,,,,,,
AttributoCanzone,Thrash Metal,22,,,,,,,
AttributoCanzone,Thrash Metal,23,,,,,,,
AttributoCanzone,Thrash Metal,24,,,,,,,
AttributoCanzone,Thrash Metal,25,,,,,,,
AttributoCanzone,Thrash Metal,26,,,,,,,
AttributoCanzone,Thrash Metal,27,,,,,,,
AttributoCanzone,Thrash Metal,28,,,,,,,
AttributoCanzone,Thrash Metal,29,,,,,,,
AttributoCanzone,Thrash Metal,30,,,,,,,
AttributoCanzone,Thrash Metal,31,,,,,,,
AttributoCanzone,Thrash Metal,32,,,,,,,
AttributoCanzone,Thrash Metal,33,,,,,,,
AttributoCanzone,Thrash Metal,34,,,,,,,
AttributoCanzone,Thrash Metal,35,,,,,,,
AttributoCanzone,Heavy Metal,27,,,,,,,
AttributoCanzone,Heavy Metal,28,,,,,,,
AttributoCanzone,Heavy Metal,29,,,,,,,
AttributoCanzone,Heavy Metal,30,,,,,,,
AttributoCanzone,Heavy Metal,31,,,,,,,
AttributoCanzone,Heavy Metal,32,,,,,,,
AttributoCanzone,Heavy Metal,33,,,,,,,
AttributoCanzone,Heavy Metal,34,,,,,,,
AttributoCanzone,Heavy Metal,35,,,,,,,
AttributoCanzone,Progressive Metal,27,,,,,,,
AttributoCanzone,Progressive Metal,28,,,,,,,
AttributoCanzone,Progressive Metal,29,,,,,,,
AttributoCanzone,Progressive Metal,30,,,,,,,
AttributoCanzone,Progressive Metal,31,,,,,,,
AttributoCanzone,Progressive Metal,32,,,,,,,
AttributoCanzone,Progressive Metal,33,,,,,,,
AttributoCanzone,Progressive Metal,34,,,,,,,
AttributoCanzone,Progressive Metal,35,,,,,,,
AttributoCanzone,Heavy Metal,36,,,,,,,
AttributoCanzone,Heavy Metal,37,,,,,,,
AttributoCanzone,Heavy Metal,38,,,,,,,
AttributoCanzone,Heavy Metal,39,,,,,,,
AttributoCanzone,Heavy Metal,40,,,,,,,
AttributoCanzone,Heavy Metal,41,,,,,,,
AttributoCanzone,Heavy Metal,42,,,,,,,
AttributoCanzone,Heavy Metal,43,,,,,,,
AttributoCanzone,Heavy Metal,44,,,,,,,
AttributoCanzone,Heavy Metal,45,,,,,,,
AttributoCanzone,Heavy Metal,46,,,,,,,
AttributoCanzone,Heavy Metal,47,,,,,,,
AttributoCanzone,Hard Rock,36,,,,,,,
AttributoCanzone,Hard Rock,37,,,,,,,
AttributoCanzone,Hard Rock,38,,,,,,,
AttributoCanzone,Hard Rock,39,,,,,,,
AttributoCanzone,Hard Rock,40,,,,,,,
AttributoCanzone,Hard Rock,41,,,,,,,
AttributoCanzone,Hard Rock,42,,,,,,,
AttributoCanzone,Hard Rock,43,,,,,,,
AttributoCanzone,Hard Rock,44,,,,,,,
AttributoCanzone,Hard Rock,45,,,,,,,
AttributoCanzone,Hard Rock,46,,,,,,,
AttributoCanzone,Hard Rock,47,,,,,,,
AttributoAlbum,Speed Metal,1,,,,,,,
AttributoAlbum,Thrash Metal,1,,,,,,,
AttributoAlbum,Speed Metal,2,,,,,,,
AttributoAlbum,Thrash Metal,2,,,,,,,
AttributoAlbum,Speed Metal,3,,,,,,,
AttributoAlbum,Thrash Metal,3,,,,,,,
AttributoAlbum,Thrash Metal,4,,,,,,,
AttributoAlbum,Heavy Metal,4,,,,,,,
AttributoAlbum,Progressive Metal,4,,,,,,,
AttributoAlbum,Heavy Metal,5,,,,,,,
AttributoAlbum,Hard Rock,5,,,,,,,
AttributoPlaylist,Speed Metal,1,,,,,,,
AttributoPlaylist,Thrash Metal,1,,,,,,,
AttributoPlaylist,Hard Rock,1,,,,,,,
AttributoPlaylist,Progressive Metal,1,,,,,,,
AttributoPlaylist,Heavy Metal,1,,,,,,,
StatCanzoni,1,1,,,,,,,
StatCanzoni,2,2,,,,,,,
StatCanzoni,3,3,,,,,,,
StatCanzoni,4,4,,,,,,,
StatCanzoni,5,5,,,,,,,
StatCanzoni,6,6,,,,,,,
StatCanzoni,7,7,,,,,,,
StatCanzoni,8,8,,,,,,,
StatCanzoni,9,9,,,,,,,
StatCanzoni,10,10,,,,,,,
StatCanzoni,11,11,,,,,,,
StatCanzoni,12,12,,,,,,,
StatCanzoni,13,13,,,,,,,
StatCanzoni,14,14,,,,,,,
StatCanzoni,15,15,,,,,,,
StatCanzoni,16,16,,,,,,,
StatCanzoni,17,17,,,,,,,
StatCanzoni,18,18,,,,,,,
StatCanzoni,19,19,,,,,,,
StatCanzoni,20,20,,,,,,,
StatCanzoni,21,21,,,,,,,
StatCanzoni,22,22,,,,,,,
StatCanzoni,23,23,,,,,,,
StatCanzoni,24,24,,,,,,,
StatCanzoni,25,25,,,,,,,
StatCanzoni,26,26,,,,,,,
StatCanzoni,27,27,,,,,,,
StatCanzoni,28,28,,,,,,,
StatCanzoni,29,29,,,,,,,
StatCanzoni,30,30,,,,,,,
StatCanzoni,31,31,,,,,,,
StatCanzoni,32,32,,,,,,,
StatCanzoni,33,33,,,,,,,
StatCanzoni,34,34,,,,,,,
StatCanzoni,35,35,,,,,,,
StatCanzoni,36,36,,,,,,,
StatCanzoni,37,37,,,,,,,
StatCanzoni,38,38,,,,,,,
StatCanzoni,39,39,,,,,,,
StatCanzoni,40,40,,,,,,,
StatCanzoni,41,41,,,,,,,
StatCanzoni,42,42,,,,,,,
StatCanzoni,43,43,,,,,,,
StatCanzoni,44,44,,,,,,,
StatCanzoni,45,45,,,,,,,
StatCanzoni,46,46,,,,,,,
StatCanzoni,47,47,,,,,,,
